Title,Producer,DVDID,DVDCost,NumOfCopies,LocationID
Warcraft ,"Jones, Duncan",1,16.49,12,202
Cafe Society ,"Allen, Woody",2,13.90,3,203
Our Kind of Traitor ,"White, Susanna",3,29.71,11,204
Free State of Jones,"Ross, Gary",4,11.16,15,205
Ghostbusters ,"Feig, Paul",5,20.10,12,206
Neighbors 2: Sorority Rising ,"Stoller, Nicholas",6,24.69,4,207
Boiling Point,"Kitano, Takeshi",7,5.28,11,208
Pan's Labyrinth,"Toro, Guillermo del",8,15.08,2,209
"My Love, Don't Cross That River ","Jin, Moyoung",9,5.73,15,210
Beyond the Valley of the Dolls ,"Meyer, Russ",10,25.88,10,211
Valley of the Dolls ,"Robson, Mark",11,18.08,8,212
Amor de Mis Amores ,"Caro, Manolo",12,15.44,5,213
Meet the Guilbys ,"Reynaud, Quentin",13,26.18,6,214
Get a Job ,"Kidd, Dylan",14,19.39,1,215
Woman in the Dunes,"Teshigahara, Hiroshi",15,21.97,14,216
Therapy for a Vampire ,"Ruhm, David",16,10.54,2,217
Chosen ,"Dizdar, Jasmin",17,23.14,11,218
Miracles from Heaven ,"Riggen, Patricia",18,20.30,4,219
The Divergent Series: Allegiant ,"Schwentke, Robert",19,24.43,14,220
Kill Your Friends ,"Harris, Owen",20,6.70,3,221
Miles Ahead ,"Cheadle, Don",21,15.33,3,222
The Lobster ,"Lanthimos, Yorgos",22,6.62,5,223
"Hello, My Name Is Doris ","Showalter, Michael",23,16.44,9,224
Meet the Blacks ,"Taylor, Deon",24,14.89,14,225
Born to Be Blue ,"Budreau, Robert",25,30.76,13,226
Crazy Ex-Girlfriend: The Complete First Season ,"Bloom, Rachel",26,9.38,15,227
Guilt: Season 1 ,"Fleder, Gary",27,21.21,2,228
Feed the Beast: Season 1 ,"Attias, Dan",28,10.82,1,229
Prey: Seasons 1 & 2 ,"Murphy, Nick",29,18.35,11,230
Jack Taylor: Set 1 ,"Orme, Stuart",30,16.74,4,231
Jack Taylor Set 2 ,"Orme, Stuart",31,19.04,6,232
Vicious: Finale ,"Jacobi, Derek",32,25.89,1,233
Tunnel: Season 1 ,"Moll, Dominik",33,26.58,8,234
The Blacklist: The Complete Third Season ,"Zinberg, Michael",34,13.60,14,235
American Horror Story: Season Five ,"Bates, Kathy",35,21.27,9,236
The Good Wife: The Final Season ,"Margulies, Julianna",36,9.67,10,237
Vera: Set 6 ,"Losey, Marek",37,4.87,14,238
Togetherness: The Complete Second Season ,"Duplass, Jay",38,2.70,13,239
Blindspot: The Complete First Season ,"Stapleton, Sullivan",39,25.31,10,240
How to Get Away with Murder: The Complete Second Season,"Rhimes, Shonda",40,2.03,4,241
The X-Files: The Event Series ,"Carter, Chris",41,22.34,15,242
Getting on: The Complete Second Season ,"Metcalf, Laurie",42,14.23,3,243
Halt and Catch Fire: The Complete Second Season ,"McNairy, Scoot",43,17.98,12,244
Limitless: The Complete Series,"McDorman, Jake",44,22.75,3,245
American Crime Story: The People V. O.J. Simpson,"Alexander, Scott",45,23.22,10,246
Supernatural: The Complete Eleventh Season ,"Padalecki, Jared",46,4.56,12,247
"Father Brown: Season Three, Part Two","Gibson, Paul",47,28.73,14,248
The Simpsons: The Complete Thirteenth Season ,"Castellaneta, Dan",48,2.19,2,249
Masterpiece: Churchill's Secret,"Sturridge, Charles",49,20.50,6,250
"What Happened, Miss Simone? ","Garbus, Liz",50,9.16,5,251
Vaxxed: From Cover-Up to Catastrophe ,"Wakefield, Andrew",51,13.23,14,252
Weiner ,"Kriegman, Josh",52,1.77,10,253
Tattoo Nation ,"Schwartz, Eric",53,7.30,11,254
California Redwoods to Death Valley ,"Watt, Jim",54,25.86,2,255
Special Id ,"Yiu-Leung, Clarence Fok",55,25.12,2,256
