ReturnID,DaysLate,LateFee,MemberID,LibrarianID
1,0,0.00,2,5
2,0,0.00,9,5
3,0,0.00,12,5
4,0,0.00,13,5
5,0,0.00,2,3
6,1,0.50,6,5
7,0,0.00,9,5
8,0,0.00,1,5
9,3,1.50,9,3
10,0,0.00,18,5
11,2,1.00,20,5
12,0,0.00,2,5
13,0,0.00,9,5
14,0,0.00,7,3
15,0,0.00,3,5
16,54,27.00,11,3
17,0,0.00,14,5
18,7,3.50,9,5
19,0,0.00,4,5
20,0,0.00,11,5
21,0,0.00,4,5
22,1,0.50,2,3
23,8,4.00,9,5
24,0,0.00,9,5
25,0,0.00,5,5
26,0,0.00,17,5
27,2,1.00,9,3
28,0,0.00,9,5
29,0,0.00,17,5
30,1,0.50,17,5
31,0,0.00,9,5
32,0,0.00,4,15
33,1,0.50,20,16
34,0,0.00,10,19
35,2,1.00,14,17
36,0,0.00,3,16
37,3,1.50,9,18
38,0,0.00,3,15
39,1,0.50,7,18
40,0,0.00,12,12
41,0,0.00,10,14
42,1,0.50,9,15
43,106,53.00,6,17
44,4,2.00,4,9
45,2,1.00,14,7
46,0,0.00,12,3
47,0,0.00,20,17
48,2,1.00,2,8
49,1,0.50,16,17
50,0,0.00,19,17
51,0,0.00,1,5
52,0,0.00,18,19
53,1,0.50,16,12
54,0,0.00,12,8
55,0,0.00,10,10
56,0,0.00,20,15
57,0,0.00,4,8
58,0,0.00,2,13
59,0,0.00,12,4
60,0,0.00,6,10
61,27,13.50,4,10
62,0,0.00,12,10
63,0,0.00,10,16
64,3,1.50,15,9
65,0,0.00,5,10
66,0,0.00,20,17
67,0,0.00,8,19
68,0,0.00,15,17
69,3,1.50,1,5
70,0,0.00,3,5
71,0,0.00,12,8
72,0,0.00,19,17
73,0,0.00,16,12
74,2,1.00,6,15
75,0,0.00,15,18
76,0,0.00,18,15
77,1,0.50,8,3
78,1,0.50,17,13
79,0,0.00,3,4
80,0,0.00,11,8
81,16,8.00,6,12
82,0,0.00,12,11
83,0,0.00,9,15
84,0,0.00,6,5
85,3,1.50,18,19
86,1,0.50,20,18
87,0,0.00,5,17
88,0,0.00,14,3
89,1,0.50,11,7
90,0,0.00,8,2
91,3,1.50,2,8
92,0,0.00,6,8
93,0,0.00,18,13
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
